400K,4:27,北千住
414K,4:50,代々木上原
416K,5:13,代々木上原
502K,5:33,代々木上原
500K,5:59,代々木上原
604K,6:06,向ヶ丘遊園
530S,6:18,向ヶ丘遊園
608S,6:23,代々木上原
618K,6:32,向ヶ丘遊園
620K,6:40,代々木上原
650S,6:43,向ヶ丘遊園
622K,6:49,霞ケ関
646S,6:55,成城学園前
606K,6:59,代々木上原
624K,7:03,霞ケ関
634S,7:08,成城学園前
626K,7:13,代々木上原
664E,7:17,成城学園前
636S,7:19,成城学園前
738S,7:22,代々木上原
610K,7:26,成城学園前
728K,7:29,代々木上原
740S,7:31,明治神宮前
714S,7:35,成城学園前
748S,7:38,向ヶ丘遊園
714K,7:42,代々木上原
716K,7:44,成城学園前
730K,7:47,代々木上原
744S,7:51,代々木上原
718S,7:54,明治神宮前
752E,7:56,代々木上原
732S,7:59,成城学園前
740E,8:02,成城学園前
750E,8:05,明治神宮前
700S,8:09,成城学園前
742S,8:12,代々木上原
816S,8:16,成城学園前
806S,8:19,代々木上原
702S,8:23,代々木上原
854S,8:27,代々木上原
802K,8:32,向ヶ丘遊園
824K,8:37,代々木上原
812S,8:42,明治神宮前
858S,8:48,向ヶ丘遊園
852S,8:55,代々木上原
808S,9:05,代々木上原
820S,9:16,向ヶ丘遊園
920K,9:26,成城学園前
956E,9:35,代々木上原
960S,9:41,代々木上原
904K,9:50,代々木上原
908K,9:57,向ヶ丘遊園
938S,10:07,代々木上原
948E,10:17,向ヶ丘遊園
1028K,10:28,代々木上原
1012K,10:37,向ヶ丘遊園
1024S,10:48,代々木上原
1022K,10:58,向ヶ丘遊園
1006S,11:08,代々木上原
1054S,11:18,向ヶ丘遊園
1114S,11:28,代々木上原
1110S,11:38,向ヶ丘遊園
1104S,11:48,代々木上原
1102S,11:58,向ヶ丘遊園
1130K,12:08,代々木上原
1102K,12:18,向ヶ丘遊園
1260S,12:28,代々木上原
1220S,12:38,向ヶ丘遊園
1238S,12:48,代々木上原
1258S,12:58,向ヶ丘遊園
1228K,13:08,代々木上原
1208K,13:18,向ヶ丘遊園
1324S,13:28,代々木上原
1348E,13:38,向ヶ丘遊園
1306S,13:48,代々木上原
1312K,13:58,向ヶ丘遊園
1314S,14:08,代々木上原
1322K,14:18,向ヶ丘遊園
1404S,14:28,代々木上原
1454S,14:38,向ヶ丘遊園
1430K,14:48,代々木上原
1410S,14:58,向ヶ丘遊園
1460S,15:08,代々木上原
1402S,15:18,向ヶ丘遊園
1538S,15:28,成城学園前
1502K,15:39,代々木上原
1528K,15:49,代々木上原
1520S,15:58,成城学園前
1610K,16:05,代々木上原
1524S,16:11,代々木上原
1558S,16:19,代々木上原
1606S,16:28,成城学園前
1608K,16:38,向ヶ丘遊園
1614S,16:48,成城学園前
1600S,16:57,向ヶ丘遊園
1648E,17:07,伊勢原
1604S,17:17,向ヶ丘遊園
1742E,17:22,代々木上原
1730K,17:30,代々木上原
1712K,17:36,向ヶ丘遊園
1722K,17:44,代々木上原
1760S,17:48,成城学園前
1732S,17:56,向ヶ丘遊園
1754S,18:03,代々木上原
1742S,18:13,代々木上原
1802K,18:23,代々木上原
1808S,18:32,代々木上原
1828K,18:37,代々木上原
1840S,18:45,代々木上原
1810K,18:50,成城学園前
1838S,18:53,代々木上原
1852S,18:57,向ヶ丘遊園
1806K,19:03,代々木上原
1858S,19:10,代々木上原
1958E,19:16,代々木上原
1822S,19:20,向ヶ丘遊園
1802S,19:24,代々木上原
1960E,19:28,成城学園前
1916K,19:32,代々木上原
1944S,19:36,向ヶ丘遊園
1956S,19:39,代々木上原
1918S,19:44,向ヶ丘遊園
1926S,19:48,代々木上原
1904K,19:53,代々木上原
1930S,19:57,成城学園前
1950S,20:03,代々木上原
1906S,20:06,本厚木
1900K,20:12,代々木上原
2050E,20:17,伊勢原
1920S,20:22,代々木上原
1912S,20:26,成城学園前
2048S,20:31,代々木上原
2030K,20:35,伊勢原
2054S,20:40,代々木上原
2022K,20:45,向ヶ丘遊園
2000S,20:50,代々木上原
2044E,20:56,成城学園前
2042S,21:04,代々木上原
2004S,21:10,代々木上原
2064E,21:18,代々木上原
2128K,21:25,代々木上原
2140S,21:36,伊勢原
2106K,21:41,代々木上原
2108K,21:47,代々木上原
2160S,21:58,代々木上原
2128S,22:05,伊勢原
2102S,22:11,代々木上原
2256S,22:22,代々木上原
2216K,22:30,代々木上原
2210K,22:42,代々木上原
2222S,22:54,代々木上原
2200K,23:02,代々木上原
2220S,23:10,代々木上原
2354S,23:22,代々木上原
2300S,23:32,代々木上原
2330S,23:41,代々木上原
2342S,23:55,代々木上原
2328K,0:17,北千住
2408K,0:33,松戸（止）
2460S,0:50,松戸（止）
