運行,発時(計),系統,行先,摘要
平日,6:30,松81,日大歯科病院,3
土曜,6:33,松81,日大歯科病院,3
休日,6:33,松81,日大歯科病院,3
平日,6:44,松81,日大歯科病院,3
平日,6:59,松81,日大歯科病院,3
土曜,7:01,松81,日大歯科病院,3
休日,7:08,松81,日大歯科病院,3
平日,7:11,松81,日大歯科病院,3
土曜,7:21,松81,日大歯科病院,3
平日,7:23,松81,日大歯科病院,3
休日,7:26,松81,日大歯科病院,3
平日,7:33,松81,日大歯科病院,3
土曜,7:35,松81,日大歯科病院,3
平日,7:43,松81,日大歯科病院,3
休日,7:44,松81,日大歯科病院,3
土曜,7:50,松81,日大歯科病院,3
平日,7:53,松81,日大歯科病院,3
平日,7:55,松73,南流山駅,2
平日,8:02,松81,日大歯科病院,3
休日,8:02,松81,日大歯科病院,3
土曜,8:06,松81,日大歯科病院,3
平日,8:09,松82,日大歯科病院,3
平日,8:15,松73,南流山駅,2
平日,8:18,松81,日大歯科病院,3
休日,8:20,松81,日大歯科病院,3
土曜,8:21,松81,日大歯科病院,3
平日,8:25,松82,日大歯科病院,3
土曜,8:25,松73,日大歯科病院,3
土曜,8:27,松82,日大歯科病院,3
平日,8:30,松73,南流山駅,2
休日,8:30,松73,日大歯科病院,3
平日,8:36,松81,日大歯科病院,3
土曜,8:37,松81,日大歯科病院,3
休日,8:38,松81,日大歯科病院,3
平日,8:45,松73,日大歯科病院,3
平日,8:45,松81,日大歯科病院,3
土曜,8:54,松81,日大歯科病院,3
休日,8:56,松81,日大歯科病院,3
平日,9:00,松73,江戸川台駅,2
平日,9:00,松81,日大歯科病院,3
土曜,9:00,松73,南流山駅,2
土曜,9:09,松81,日大歯科病院,3
休日,9:14,松81,日大歯科病院,3
平日,9:15,松81,日大歯科病院,3
土曜,9:25,松81,日大歯科病院,3
平日,9:30,松81,日大歯科病院,3
土曜,9:30,松73,江戸川台駅,2
休日,9:32,松81,日大歯科病院,3
土曜,9:41,松81,日大歯科病院,3
平日,9:45,松81,日大歯科病院,3
土曜,9:45,松73,南流山駅,2
休日,9:50,松81,日大歯科病院,3
平日,9:54,松73,南流山駅,2
土曜,9:58,松81,日大歯科病院,3
平日,10:00,松81,日大歯科病院,3
休日,10:08,松81,日大歯科病院,3
平日,10:15,松81,日大歯科病院,3
土曜,10:15,松81,日大歯科病院,3
平日,10:20,松73,南流山駅,2
休日,10:26,松81,日大歯科病院,3
平日,10:30,松81,日大歯科病院,3
土曜,10:32,松81,日大歯科病院,3
土曜,10:40,松73,南流山駅,2
休日,10:44,松81,日大歯科病院,3
平日,10:45,松81,日大歯科病院,3
土曜,10:49,松81,日大歯科病院,3
平日,10:53,松73,南流山駅,2
平日,11:00,松81,日大歯科病院,3
休日,11:02,松81,日大歯科病院,3
土曜,11:06,松81,日大歯科病院,3
平日,11:08,松73,南流山駅,2
土曜,11:13,松73,南流山駅,2
休日,11:19,松81,日大歯科病院,3
平日,11:20,松81,日大歯科病院,3
土曜,11:23,松81,日大歯科病院,3
土曜,11:30,松73,南流山駅,2
平日,11:34,松73,江戸川台駅,2
平日,11:36,松81,日大歯科病院,3
休日,11:38,松81,日大歯科病院,3
土曜,11:40,松81,日大歯科病院,3
平日,11:47,松73,南流山駅,2
土曜,11:48,松73,南流山駅,2
平日,11:54,松81,日大歯科病院,3
土曜,11:56,松81,日大歯科病院,3
平日,12:00,松73,南流山駅,2
休日,12:00,松81,日大歯科病院,3
平日,12:10,松81,日大歯科病院,3
土曜,12:12,松81,日大歯科病院,3
平日,12:20,松73,江戸川台駅,2
休日,12:20,松81,日大歯科病院,3
土曜,12:21,松73,江戸川台駅,2
土曜,12:28,松81,日大歯科病院,3
平日,12:30,松81,日大歯科病院,3
休日,12:40,松81,日大歯科病院,3
土曜,12:42,松73,日大歯科病院,3
土曜,12:44,松81,日大歯科病院,3
平日,12:48,松81,日大歯科病院,3
土曜,12:54,松73,南流山駅,2
土曜,13:00,松81,日大歯科病院,3
休日,13:00,松81,日大歯科病院,3
平日,13:05,松81,日大歯科病院,3
平日,13:09,松73,南流山駅,2
土曜,13:16,松81,日大歯科病院,3
休日,13:20,松81,日大歯科病院,3
土曜,13:21,松73,南流山駅,2
平日,13:25,松81,日大歯科病院,3
平日,13:31,松73,南流山駅,2
土曜,13:32,松81,日大歯科病院,3
土曜,13:34,松73,南流山駅,2
休日,13:40,松81,日大歯科病院,3
平日,13:45,松81,日大歯科病院,3
土曜,13:48,松81,日大歯科病院,3
平日,14:00,松81,日大歯科病院,3
休日,14:00,松81,日大歯科病院,3
平日,14:03,松73,江戸川台駅,2
土曜,14:04,松81,日大歯科病院,3
平日,14:19,松81,日大歯科病院,3
休日,14:20,松81,日大歯科病院,3
土曜,14:22,松81,日大歯科病院,3
平日,14:33,松81,日大歯科病院,3
土曜,14:40,松81,日大歯科病院,3
休日,14:40,松81,日大歯科病院,3
平日,14:43,松73,日大歯科病院,3
平日,14:50,松81,日大歯科病院,3
土曜,15:00,松81,日大歯科病院,3
休日,15:00,松81,日大歯科病院,3
平日,15:06,松81,日大歯科病院,3
休日,15:07,松73,日大歯科病院,3
平日,15:12,松73,南流山駅,2
土曜,15:20,松81,日大歯科病院,3
休日,15:20,松81,日大歯科病院,3
平日,15:22,松81,日大歯科病院,3
土曜,15:25,松73,日大歯科病院,3
平日,15:38,松81,日大歯科病院,3
土曜,15:40,松81,日大歯科病院,3
休日,15:40,松81,日大歯科病院,3
平日,15:50,松73,南流山駅,2
平日,15:54,松81,日大歯科病院,3
土曜,16:00,松81,日大歯科病院,3
休日,16:00,松81,日大歯科病院,3
平日,16:10,松81,日大歯科病院,3
土曜,16:20,松81,日大歯科病院,3
休日,16:20,松81,日大歯科病院,3
平日,16:21,松73,江戸川台駅,2
平日,16:25,松81,日大歯科病院,3
平日,16:30,松73,日大歯科病院,3
平日,16:40,松81,日大歯科病院,3
土曜,16:40,松81,日大歯科病院,3
休日,16:40,松81,日大歯科病院,3
平日,16:41,松73,南流山駅,2
