運行,発時(計),系統,行先,摘要
平日,7:41,松73,松戸駅,0
平日,8:00,松73,松戸駅,0
平日,8:19,松73,松戸駅,5
平日,8:32,松73,松戸駅,0
平日,8:48,松73,松戸駅,0
平日,9:10,松73,松戸駅,0
平日,9:52,松73,松戸駅,5
平日,10:23,松73,松戸駅,5
平日,10:38,松73,松戸駅,0
平日,11:00,松73,松戸駅,0
平日,11:41,松73,松戸駅,0
平日,12:19,松73,松戸駅,0
平日,12:40,松73,松戸駅,0
平日,13:00,松73,松戸駅,5
平日,13:47,松73,松戸駅,0
平日,14:03,松73,松戸駅,5
平日,14:35,松73,松戸駅,0
平日,15:18,松73,松戸駅,0
平日,15:33,松73,松戸駅,5
平日,15:57,松73,松戸駅,0
平日,16:29,松73,松戸駅,0
平日,17:08,松73,松戸駅,10
平日,17:41,松73,松戸駅,11
土曜,7:45,松73,松戸駅,0
土曜,8:21,松73,松戸駅,0
土曜,8:47,松73,松戸駅,0
土曜,9:02,松73,松戸駅,5
土曜,9:34,松73,松戸駅,0
土曜,10:15,松73,松戸駅,0
土曜,11:15,松73,松戸駅,5
土曜,11:45,松73,松戸駅,10
土曜,12:26,松73,松戸駅,11
