運行,発時(計),系統,行先,摘要
平日,6:08,松81,松戸駅,0
平日,6:24,松81,松戸駅,4
平日,6:36,松81,松戸駅,4
平日,6:48,松81,松戸駅,4
平日,7:00,松81,松戸駅,4
平日,7:12,松81,松戸駅,4
平日,7:20,松82,松戸駅,0
平日,7:25,松81,松戸駅,4
平日,7:37,松81,松戸駅,4
平日,7:48,松81,松戸駅,4
平日,7:53,松73,松戸駅,1
平日,8:01,松81,松戸駅,4
平日,8:07,松73,南流山駅,2
平日,8:11,松81,松戸駅,4
平日,8:12,松73,松戸駅,4
平日,8:19,松81,松戸駅,4
平日,8:27,松73,南流山駅,2
平日,8:30,松81,松戸駅,4
平日,8:31,松73,松戸駅,1
平日,8:39,松73,南流山駅,2
平日,8:44,松73,松戸駅,1
平日,8:47,松73,江戸川台駅,2
平日,8:58,松81,松戸駅,0
平日,9:00,松73,松戸駅,1
平日,9:12,松81,松戸駅,0
平日,9:17,松73,江戸川台駅,2
平日,9:22,松73,松戸駅,1
平日,9:32,松81,松戸駅,0
平日,9:52,松81,松戸駅,0
平日,10:02,松73,南流山駅,2
平日,10:04,松73,松戸駅,1
平日,10:12,松81,松戸駅,0
平日,10:29,松81,松戸駅,0
平日,10:35,松73,松戸駅,1
平日,10:41,松73,南流山駅,2
平日,10:49,松81,松戸駅,0
平日,10:50,松73,松戸駅,1
平日,11:09,松81,松戸駅,0
平日,11:11,松73,南流山駅,2
平日,11:12,松73,松戸駅,1
平日,11:32,松81,松戸駅,0
平日,11:48,松73,江戸川台駅,2
平日,11:49,松81,松戸駅,0
平日,11:53,松73,松戸駅,1
平日,11:59,松73,南流山駅,2
平日,12:06,松81,松戸駅,0
平日,12:17,松73,南流山駅,2
平日,12:29,松81,松戸駅,0
平日,12:31,松73,松戸駅,1
平日,12:43,松73,江戸川台駅,2
平日,12:49,松81,松戸駅,0
平日,12:52,松73,松戸駅,1
平日,13:06,松81,松戸駅,0
平日,13:12,松73,松戸駅,1
平日,13:24,松73,南流山駅,2
平日,13:29,松81,松戸駅,0
平日,13:49,松81,松戸駅,0
平日,13:58,松73,南流山駅,2
平日,13:59,松73,松戸駅,1
平日,14:09,松81,松戸駅,0
平日,14:15,松73,松戸駅,1
平日,14:15,松73,江戸川台駅,2
平日,14:29,松81,松戸駅,0
平日,14:46,松81,松戸駅,0
平日,14:47,松73,松戸駅,1
平日,14:51,松73,南流山駅,2
平日,15:09,松81,松戸駅,0
平日,15:28,松81,松戸駅,0
平日,15:30,松73,松戸駅,1
平日,15:33,松73,南流山駅,2
平日,15:42,松81,松戸駅,0
平日,15:45,松73,松戸駅,1
平日,15:58,松81,松戸駅,0
平日,16:02,松73,南流山駅,2
平日,16:08,松81,松戸駅,0
平日,16:09,松73,松戸駅,1
平日,16:17,松73,江戸川台駅,11
平日,16:22,松81,松戸駅,0
平日,16:34,松82,松戸駅,0
平日,16:41,松73,松戸駅,1
平日,16:47,松73,南流山駅,2
平日,16:49,松81,松戸駅,0
平日,17:04,松81,松戸駅,0
平日,17:16,松73,南流山駅,2
平日,17:19,松81,松戸駅,0
平日,17:20,松73,松戸駅,1
平日,17:31,松81,松戸駅,0
平日,17:41,松73,南流山駅,11
平日,17:46,松81,松戸駅,0
平日,17:53,松73,松戸駅,1
